DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;HOG;P1692;P1692S1;P1692S2;P1692S3;P1692S4;P1692S5;P1692S6;P1692S7;P1692S8;P1692S9;P1692S10;P1692S11;P1692S12;P1692S13;P1692S14;P1692S15;P1693;P1694;P1694S1;P1694S2;P1694S36;P1694S3;P1694S4;P1694S5;P1694S6;P1694S7;P1694S37;P1694S9;P1694S10;P1694S11;P1694S12;P1694S13;P1694S14;P1694S38;P1694S39;P1694S40;P1694S41;P1694S42;P1694S15;P1694S16;P1694S17;P1694S43;P1694S18;P1694S19;P1694S20;P1694S21;P1694S22;P1694S23;P1694S24;P1694S25;P1694S26;P1694S28;P1694S29;P1694S30;P1694S31;P1694S32;P1694S33;P1694S34;P1694S35;P1695;P1696
647834;237;1201;2;1;90.131600564;1;;;;;;;;;;;;;1201;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647838;237;205;1;1;91.046161553;1;;;0205;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647899;237;201;1;1;972.14770932;1;;;0201;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647899;237;1007;1;1;972.14770932;1;;;;;;;;;;;1007;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
647899;237;1403;1;1;972.14770932;1;;;;;;;;;;;;;;;1403;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647902;237;1105;2;1;1001.1988363;1;;;;;;;;;;;;1105;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647902;237;302;2;1;1001.1988363;1;;;;0302;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647902;237;702;2;1;1001.1988363;1;;;;;;;;0702;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647902;237;1401;2;1;1001.1988363;1;;;;;;;;;;;;;;;1401;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
647902;237;1202;2;1;1001.1988363;1;;;;;;;;;;;;;1202;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
