DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;HOG;P3154;P1672;P1673;P1673S1;P1673S2;P1673S36;P1673S3;P1673S4;P1673S5;P1673S6;P1673S7;P1673S37;P1673S9;P1673S10;P1673S11;P1673S12;P1673S13;P1673S14;P1673S38;P1673S39;P1673S40;P1673S41;P1673S42;P1673S15;P1673S16;P1673S17;P1673S43;P1673S18;P1673S19;P1673S20;P1673S21;P1673S22;P1673S23;P1673S24;P1673S25;P1673S26;P1673S28;P1673S29;P1673S30;P1673S31;P1673S32;P1673S33;P1673S34;P1673S35;P1674;P1675;P1676;P1676S2;P1676S3;P1677;P1678;P1679;P1680;P1681;P1682;P1683;P1684;P1685;P1686;P1687;P1688;P1689;P1690
647765;237;1;1;1;528.56385638;1;0704;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
647768;237;1;1;1;637.6072752;1;0301;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;10;3;;;5;;;;;;;;2;;1;;7;1
647775;237;1;1;1;71.098645671;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;5;;;;;;;;;;;2;;1;;7;9
647775;237;1;2;1;71.098645671;1;1401;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;9;3;;;1;;;;;;;;2;;2;1;7;1
647776;237;1;1;1;92.766326636;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;;7;1
647776;237;1;2;1;92.766326636;1;0505;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;5;7;1
647776;237;2;2;2;92.766326636;1;1401;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;7;;
647777;237;1;1;1;89.936091438;1;1003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;;
647777;237;2;1;2;89.936091438;1;1006;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;10;;;;;;;;1;1;1;1;;7;3
647783;237;1;1;1;120.43283288;1;1006;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;;;
