DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C
647973;236;1;1;1;67.715246925
647974;236;1;1;1;48.56739728
647975;236;1;1;1;53.897608246
647976;236;1;1;1;61.318090501
647977;236;1;1;1;62.565678676
647978;236;1;1;1;67.770318483
647979;236;1;1;1;48.21883873
647980;236;1;1;1;35.994179488
647981;236;1;1;1;48.21883873
647982;236;1;1;1;56.640674779
647984;236;1;1;1;44.989652836
647985;236;1;1;1;49.173046772
647986;236;1;1;1;67.770318483
647988;236;1;1;1;54.009037783
647990;236;1;1;1;55.569774537
647991;236;1;1;1;46.076339633
647991;236;2;1;2;46.076339633
647992;236;1;1;1;61.43511951
647993;236;1;1;1;66.355939351
647994;236;1;1;1;50.827738862
647999;236;1;1;1;36.671781133
648000;236;1;1;1;55.448442395
648002;236;1;1;1;76.249925527
648005;236;1;1;1;36.988944829
648007;236;1;1;1;44.358753916
648013;236;1;1;1;42.184069612
648014;236;1;1;1;42.777098205
648016;236;1;1;1;569.74892072
648017;236;1;1;1;476.53616123
648018;236;1;1;1;527.27326156
648019;236;1;1;1;477.25804333
648020;236;1;1;1;594.29888527
648021;236;1;1;1;536.49979327
648022;236;1;1;1;570.78741618
648023;236;1;1;1;536.49979327
648024;236;1;1;1;628.95392034
648025;236;1;1;1;698.3424497
648026;236;1;1;1;550.25997954
648027;236;1;1;1;423.38230872
648028;236;1;1;1;580.18677752
648029;236;1;1;1;483.22187264
648030;236;1;1;1;555.4951976
648031;236;1;1;1;474.47788542
648032;236;1;1;1;453.52841227
648033;236;1;1;1;503.15661176
648034;236;1;1;1;542.8311885
648035;236;1;1;1;384.78021873
648036;236;1;1;1;470.85019652
648037;236;1;1;1;1702.8693895
648038;236;1;1;1;1940.1963581
648039;236;1;1;1;1888.8425906
648040;236;1;1;1;1831.1448904
648041;236;1;1;1;1589.1138677
648043;236;1;1;1;951.37547975
648044;236;1;1;1;1062.0673096
648045;236;1;1;1;1418.7577522
648046;236;1;1;1;1184.6881286
648047;236;1;1;1;1502.2363117
648049;236;1;1;1;1526.9771788
648051;236;1;1;1;1942.7185194
648052;236;1;1;1;1970.4968781
648053;236;1;1;1;2316.6756914
648055;236;1;1;1;1428.1704668
648056;236;1;1;1;1641.2256787
648058;236;1;1;1;2237.9923728
648060;236;1;1;1;2105.3948044
648062;236;1;1;1;1242.9350544
648063;236;1;1;1;2155.7737313
648064;236;1;1;1;1940.1963581
648066;236;1;1;1;1766.568476
648067;236;1;1;1;133.50434822
648068;236;1;1;1;173.03366031
648070;236;1;1;1;173.03366031
648071;236;1;1;1;219.80230884
648072;236;1;1;1;164.83620523
648073;236;1;1;1;144.31728124
648074;236;1;1;1;180.31614307
648075;236;1;1;1;261.83832561
648076;236;1;1;1;219.95684737
648077;236;1;1;1;157.32307359
648078;236;1;1;1;148.33816469
648079;236;1;1;1;157.92719795
648080;236;1;1;1;192.01477212
648081;236;1;1;1;156.13562588
648082;236;1;1;1;138.06662727
648083;236;1;1;1;116.29705046
648084;236;1;1;1;133.50434822
648085;236;1;1;1;186.56745356
648088;236;1;1;1;224.03012232
648089;236;1;1;1;206.02522873
648090;236;1;1;1;136.96409454
648091;236;1;1;1;157.97433511
648093;236;1;1;1;211.75903686
648094;236;1;1;1;221.3175647
648095;236;1;1;1;291.42506507
648096;236;1;1;1;163.35287449
648097;236;1;1;1;145.38343822
648098;236;1;1;1;204.90470803
648099;236;1;1;1;161.94758252
648100;236;1;1;1;212.56915402
648100;236;2;1;2;212.56915402
648101;236;1;1;1;157.32307359
648103;236;1;1;1;214.20134985
648106;236;1;1;1;158.61418862
648108;236;1;1;1;213.40605633
648109;236;1;1;1;158.61418862
648110;236;1;1;1;223.04108144
648110;236;2;1;2;223.04108144
648111;236;1;1;1;195.9469833
648112;236;1;1;1;808.3022149
648113;236;1;1;1;751.18422843
648114;236;1;1;1;567.35905382
648115;236;1;1;1;603.14631335
648116;236;1;1;1;361.11799475
648117;236;1;1;1;361.11799475
648118;236;1;1;1;713.3012756
648119;236;1;1;1;614.48222697
648120;236;1;1;1;501.81074173
648121;236;1;1;1;501.81074173
648122;236;1;1;1;501.81074173
648124;236;1;1;1;501.81074173
648125;236;1;1;1;1583.7887747
648126;236;1;1;1;969.51677607
648127;236;1;1;1;493.01196741
648128;236;1;1;1;1009.7888975
648129;236;1;1;1;1857.4389654
648130;236;1;1;1;1033.5538602
648131;236;1;1;1;682.78317601
648132;236;1;1;1;493.01196741
648133;236;1;1;1;730.31310136
648134;236;1;1;1;493.01196741
648135;236;1;1;1;2958.0718045
648136;236;1;1;1;493.01196741
648137;236;1;1;1;756.87404309
648138;236;1;1;1;542.37863007
648139;236;1;1;1;1388.2497913
648140;236;1;1;1;1630.2070642
648141;236;1;1;1;770.61794443
648142;236;1;1;1;2066.8394073
648143;236;1;1;1;1277.6472201
648144;236;1;1;1;956.59933558
648145;236;1;1;1;1290.1262098
648146;236;1;1;1;601.686937
648147;236;1;1;1;541.52198338
648148;236;1;1;1;866.91791676
648149;236;1;1;1;1115.1342738
648150;236;1;1;1;851.25555631
648151;236;1;1;1;992.80492301
648152;236;1;1;1;703.4292142
648153;236;1;1;1;294.36011344
648154;236;1;1;1;458.867288
648155;236;1;1;1;413.96263147
648156;236;1;1;1;546.15455424
648157;236;1;1;1;433.90290405
648158;236;1;1;1;465.95644387
648159;236;1;1;1;502.45182922
648160;236;1;1;1;547.64861623
648165;236;1;1;1;99.046245106
648166;236;1;1;1;124.08118634
648167;236;1;1;1;159.17301994
648172;236;1;1;1;111.76214519
648173;236;1;1;1;234.18146118
648174;236;1;1;1;138.10761025
648175;236;1;1;1;117.74753801
648176;236;1;1;1;112.80107849
648177;236;1;1;1;243.75082494
648178;236;1;1;1;241.04181949
648180;236;1;1;1;426.80879899
648181;236;1;1;1;342.52145411
648182;236;1;1;1;578.37219853
648183;236;1;1;1;288.05328268
648184;236;1;1;1;200.75756902
648185;236;1;1;1;426.74325218
648186;236;1;1;1;343.91581465
648187;236;1;1;1;409.73644703
648188;236;1;1;1;454.5632756
648189;236;1;1;1;509.30065859
648190;236;1;1;1;273.94323463
648191;236;1;1;1;509.30065859
648192;236;1;1;1;290.56211697
648193;236;1;1;1;385.54331688
648194;236;1;1;1;373.64742451
648195;236;1;1;1;307.63384282
648196;236;1;1;1;397.66305917
648197;236;1;1;1;509.30065859
648198;236;1;1;1;623.83097236
648199;236;1;1;1;519.68235587
648200;236;1;1;1;382.86907088
648201;236;1;1;1;369.67243807
648202;236;1;1;1;382.86907088
648203;236;1;1;1;340.23332422
648204;236;1;1;1;512.17055879
648205;236;1;1;1;312.07665016
648206;236;1;1;1;440.46485879
648207;236;1;1;1;448.20975114
648209;236;1;1;1;170.87037869
648211;236;1;1;1;154.14309441
648212;236;1;1;1;155.99147844
648214;236;1;1;1;154.14309441
648215;236;1;1;1;110.76489873
648216;236;1;1;1;105.02405147
648217;236;1;1;1;92.485856647
648218;236;1;1;1;78.046119956
648218;236;2;1;2;78.046119956
648219;236;1;1;1;135.98445734
648220;236;1;1;1;61.077848164
648221;236;1;1;1;108.99393431
648222;236;1;1;1;85.581418087
648223;236;1;1;1;87.743304821
648224;236;1;1;1;87.352382504
648225;236;1;1;1;67.804531952
648226;236;1;1;1;98.535954173
648227;236;1;1;1;80.013015004
648228;236;1;1;1;67.804531952
648229;236;1;1;1;71.869568445
648230;236;1;1;1;86.289777331
648231;236;1;1;1;87.215807578
648233;236;1;1;1;141.18292366
648234;236;1;1;1;68.956506461
648235;236;1;1;1;123.96229557
648236;236;1;1;1;109.88868586
648237;236;1;1;1;79.780493904
648238;236;1;1;1;66.398546223
648240;236;1;1;1;79.245597742
648241;236;1;1;1;63.67895178
648242;236;1;1;1;101.17810287
648244;236;1;1;1;70.187932991
648245;236;1;1;1;110.18870718
648248;236;1;1;1;801.17985241
648249;236;1;1;1;793.28926453
648250;236;1;1;1;503.60898725
648251;236;1;1;1;511.54309849
648252;236;1;1;1;1161.4562531
648255;236;1;1;1;388.47945057
648257;236;1;1;1;587.18186263
648258;236;1;1;1;521.85143207
648259;236;1;1;1;521.85143207
648260;236;1;1;1;473.23679698
648261;236;1;1;1;495.70209143
648262;236;1;1;1;499.38613761
648263;236;1;1;1;993.63333454
648266;236;1;1;1;583.13702685
648267;236;1;1;1;604.58201815
648268;236;1;1;1;958.37315788
648269;236;1;1;1;677.75954047
648270;236;1;1;1;924.25112302
648271;236;1;1;1;602.07916222
648272;236;1;1;1;1085.3883341
648273;236;1;1;1;793.08350323
648274;236;1;1;1;655.44430562
648276;236;1;1;1;971.0828418
648278;236;1;1;1;693.94806533
648286;236;1;1;1;958.37315788
648287;236;1;1;1;958.37315788
648288;236;1;1;1;753.06615608
648289;236;1;1;1;1086.7948606
648291;236;1;1;1;910.25946155
648292;236;1;1;1;1238.8782485
648294;236;1;1;1;680.42835262
648297;236;1;1;1;1061.4707798
648298;236;1;1;1;1149.032973
648299;236;1;1;1;681.83785621
648300;236;1;1;1;924.25112302
648301;236;1;1;1;1087.4936945
648304;236;1;1;1;677.59622797
648305;236;1;1;1;599.26336514
648306;236;1;1;1;705.52131004
648307;236;1;1;1;107.72011121
648309;236;1;1;1;113.47991141
648310;236;1;1;1;90.677748698
648311;236;1;1;1;76.797060143
648312;236;1;1;1;83.097448151
648313;236;1;1;1;103.9801149
648315;236;1;1;1;90.025932461
648316;236;1;1;1;92.557354949
648317;236;1;1;1;78.570485963
648318;236;1;1;1;76.797060143
648319;236;1;1;1;80.956048816
648320;236;1;1;1;62.833958298
648321;236;1;1;1;51.920100344
648322;236;1;1;1;60.103237029
648323;236;1;1;1;171.89224662
648324;236;1;1;1;84.27253915
648325;236;1;1;1;136.56924233
648326;236;1;1;1;139.2480706
648327;236;1;1;1;156.46439846
648329;236;1;1;1;126.36374323
648331;236;1;1;1;113.53809459
648332;236;1;1;1;114.34795101
648333;236;1;1;1;123.34524772
648334;236;1;1;1;104.30959898
648335;236;1;1;1;96.77455353
648337;236;1;1;1;74.548736213
648338;236;1;1;1;92.022465125
648339;236;1;1;1;167.22095216
648341;236;1;1;1;155.55600217
648342;236;1;1;1;44.249888551
648343;236;1;1;1;73.907160064
648344;236;1;1;1;1811.4182489
648345;236;1;1;1;4821.9345284
648346;236;1;1;1;2640.9475476
648347;236;1;1;1;4952.0479675
648348;236;1;1;1;3339.6416065
648349;236;1;1;1;1811.4182489
648350;236;1;1;1;4199.8144495
648351;236;1;1;1;2140.0216311
648352;236;1;1;1;7245.6729954
648353;236;1;1;1;4969.5066575
648354;236;1;1;1;61.594473239
648355;236;1;1;1;59.322426742
648356;236;1;1;1;54.043197726
648357;236;1;1;1;63.487110495
648358;236;1;1;1;68.402132318
648359;236;1;1;1;56.681256571
648360;236;1;1;1;64.318084582
648361;236;1;1;1;45.52967456
648362;236;1;1;1;82.446001235
648363;236;1;1;1;44.990654586
648364;236;1;1;1;86.540764952
648365;236;1;1;1;46.742964462
648366;236;1;1;1;39.764654451
648367;236;1;1;1;56.780828092
648368;236;1;1;1;61.45354083
648369;236;1;1;1;72.759425565
648370;236;1;1;1;53.138678036
648372;236;1;1;1;41.202658463
648373;236;1;1;1;46.607118509
648374;236;1;1;1;42.658385846
648375;236;1;1;1;37.793952049
648376;236;1;1;1;43.234558181
648377;236;1;1;1;44.694816411
648378;236;1;1;1;61.565083901
648379;236;1;1;1;58.581581492
648381;236;1;1;1;64.191525011
648382;236;1;1;1;54.697925722
648383;236;1;1;1;41.921743368
648384;236;1;1;1;40.902692215
648385;236;1;1;1;43.0610567
648386;236;1;1;1;85.171242138
648388;236;1;1;1;42.510942429
648390;236;1;1;1;55.287115519
648391;236;1;1;1;72.057596968
648392;236;1;1;1;76.033290883
648393;236;1;1;1;76.05390531
648394;236;1;1;1;43.971200659
648395;236;1;1;1;70.297897791
648396;236;1;1;1;58.224643567
648397;236;1;1;1;60.247169396
648398;236;1;1;1;644.3276216
648399;236;1;1;1;657.80024805
648400;236;1;1;1;611.11803393
648401;236;1;1;1;445.05248819
648402;236;1;1;1;679.15058765
648402;236;2;1;2;679.15058765
648403;236;1;1;1;514.20170228
648404;236;1;1;1;651.8592362
648405;236;1;1;1;651.8592362
648406;236;1;1;1;478.96962464
648407;236;1;1;1;1156.0068437
648409;236;1;1;1;1187.2891536
648411;236;1;1;1;93.255307549
648414;236;1;1;1;107.74325746
648415;236;1;1;1;119.02482406
648416;236;1;1;1;65.8770224
648417;236;1;1;1;83.292529843
648422;236;1;1;1;112.41211188
648423;236;1;1;1;130.18123738
648424;236;1;1;1;92.743613548
648425;236;1;1;1;76.221228979
648426;236;1;1;1;60.573359462
648427;236;1;1;1;96.565276567
648430;236;1;1;1;100.47441166
648431;236;1;1;1;82.770237057
648432;236;1;1;1;60.31554581
648434;236;1;1;1;134.63735027
648435;236;1;1;1;134.63735027
648436;236;1;1;1;93.787840345
648437;236;1;1;1;115.32097105
648438;236;1;1;1;58.960140111
648439;236;1;1;1;153.92115954
648440;236;1;1;1;264.82443414
648442;236;1;1;1;164.7515208
648444;236;1;1;1;126.52945072
648445;236;1;1;1;142.47338653
648446;236;1;1;1;121.27316262
648447;236;1;1;1;110.61931122
648450;236;1;1;1;92.71386111
648451;236;1;1;1;46.772117782
648452;236;1;1;1;188.80351846
648453;236;1;1;1;108.60302355
648454;236;1;1;1;39.648017102
648455;236;1;1;1;38.978277894
648457;236;1;1;1;73.076205929
648460;236;1;1;1;146.09252904
648461;236;1;1;1;37.91869725
648462;236;1;1;1;85.255573584
648463;236;1;1;1;59.629879319
648464;236;1;1;1;78.086746728
648466;236;1;1;1;51.920022396
648467;236;1;1;1;129.46175742
648468;236;1;1;1;98.231261725
648469;236;1;1;1;93.047096029
648470;236;1;1;1;36.261417844
648472;236;1;1;1;77.209707288
648473;236;1;1;1;50.020181517
648474;236;1;1;1;71.806586813
648475;236;1;1;1;47.831698427
648477;236;1;1;1;115.47040083
648479;236;1;1;1;146.62761915
648480;236;1;1;1;63.941680188
648481;236;1;1;1;126.55345411
648483;236;1;1;1;121.60528898
648484;236;1;1;1;130.71178223
648485;236;1;1;1;62.637680528
648486;236;1;1;1;36.261417844
648487;236;1;1;1;110.18136862
648488;236;1;1;1;119.17473701
648489;236;1;1;1;67.135473403
648490;236;1;1;1;101.98524722
648491;236;1;1;1;92.575903614
648492;236;1;1;1;77.625582945
648493;236;1;1;1;68.448000861
648494;236;1;1;1;59.555303288
648495;236;1;1;1;87.32207142
648496;236;1;1;1;108.7793676
648497;236;1;1;1;78.04666889
648498;236;1;1;1;59.551112537
648499;236;1;1;1;75.361546391
648500;236;1;1;1;61.177828296
648501;236;1;1;1;53.126762392
648502;236;1;1;1;80.402759765
648503;236;1;1;1;69.889202376
648504;236;1;1;1;85.952500704
648505;236;1;1;1;56.900407398
648506;236;1;1;1;109.75312813
648507;236;1;1;1;62.664897496
648508;236;1;1;1;64.80313253
648509;236;1;1;1;73.639923329
648510;236;1;1;1;66.941367563
648511;236;1;1;1;70.242002001
648512;236;1;1;1;69.865892631
648513;236;1;1;1;61.345286732
648514;236;1;1;1;110.49236045
648515;236;1;1;1;79.679718581
648516;236;1;1;1;84.870655505
648517;236;1;1;1;76.584848307
648518;236;1;1;1;74.467579277
648519;236;1;1;1;101.26240998
648519;236;2;1;2;101.26240998
648520;236;1;1;1;66.995001604
648521;236;1;1;1;133.54230026
648522;236;1;1;1;108.00522088
648523;236;1;1;1;175.17658931
648525;236;1;1;1;105.07983978
648526;236;1;1;1;106.69533576
648527;236;1;1;1;105.07983978
648528;236;1;1;1;127.43327328
648529;236;1;1;1;108.00522088
648530;236;1;1;1;115.31718392
648531;236;1;1;1;105.07983978
648532;236;1;1;1;64.80313253
648533;236;1;1;1;57.435828389
648534;236;1;1;1;80.808044324
648535;236;1;1;1;92.353481426
648536;236;1;1;1;69.889202376
648537;236;1;1;1;93.807906687
648538;236;1;1;1;85.798984221
648539;236;1;1;1;116.44249153
648540;236;1;1;1;45.997849373
648541;236;1;1;1;63.684751379
648542;236;1;1;1;84.586240547
648543;236;1;1;1;53.361381838
648544;236;1;1;1;71.222560137
648545;236;1;1;1;69.988961562
648546;236;1;1;1;79.752263684
648547;236;1;1;1;69.988961562
648548;236;1;1;1;57.552370551
648549;236;1;1;1;94.679901423
648550;236;1;1;1;185.96318121
648551;236;1;1;1;108.00522088
648552;236;1;1;1;95.920617585
648553;236;1;1;1;82.217672216
648554;236;1;1;1;77.251293794
648555;236;1;1;1;89.326668805
648556;236;1;1;1;108.00522088
648557;236;1;1;1;148.934741
648558;236;1;1;1;86.571935767
648559;236;1;1;1;113.67133923
