DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1398S1;P1398S2;P1398S3;P1398S4;P1398S5;P1398S6;P1398S8;P1398S9;P1398S10;P1398S12;P1398S13;P1398S20;P1398S22;P1590S1;P1590S2;P1590S3;P1590S4;P1590S5;P520S1;P520S2;P520S3;P520S4;P520S8;P520S9;P520S5;P520S10;P520S6;P3103
647803;236;1;1;1;1424.7873533;1;2;2;2;2;2;2;2;1;1;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647804;236;1;1;1;767.31464773;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647805;236;1;1;1;1011.2569287;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647806;236;1;1;1;1682.6069974;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647807;236;1;1;1;616.14503679;1;1;1;1;2;2;2;2;1;2;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
647808;236;1;1;1;840.22829366;1;1;1;1;1;2;1;1;1;1;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5
647809;236;1;1;1;948.35117977;1;1;2;1;2;2;1;2;1;2;;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4
647810;236;1;1;1;800.70253995;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647811;236;1;1;1;784.12349281;1;2;1;2;2;2;1;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647812;236;1;1;1;800.63020604;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;9
647813;236;1;1;1;784.12349281;2;2;2;2;2;2;1;2;2;1;;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;9
647816;236;1;1;1;869.4305499;2;2;2;2;2;2;2;2;2;2;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647817;236;1;1;1;516.71020049;2;1;2;1;2;2;2;2;1;2;;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;8
